indicator,year,name,category,group,value
good_self_rated_health,2018,bristol,Income,<$75K,0.48
good_self_rated_health,2018,bristol,With children,No children,0.62
good_self_rated_health,2018,bristol,With children,Children in household,0.52
good_self_rated_health,2018,cchd_central_ct_health_district,Total,Total,0.63
good_self_rated_health,2018,cchd_central_ct_health_district,Gender,Male,0.61
good_self_rated_health,2018,cchd_central_ct_health_district,Gender,Female,0.66
good_self_rated_health,2018,cchd_central_ct_health_district,Age,Under age 55,0.67
good_self_rated_health,2018,cchd_central_ct_health_district,Age,Age 55 or older,0.59
good_self_rated_health,2018,cchd_central_ct_health_district,Education,Bachelor's or higher,0.66
good_self_rated_health,2018,cchd_central_ct_health_district,Education,Some college or less,0.61
good_self_rated_health,2018,cchd_central_ct_health_district,Income,$75K+,0.75
good_self_rated_health,2018,cchd_central_ct_health_district,Income,<$75K,0.47000000000000003
good_self_rated_health,2018,cchd_central_ct_health_district,With children,No children,0.62
good_self_rated_health,2018,cchd_central_ct_health_district,With children,Children in household,0.6699999999999999
good_self_rated_health,2018,chesprocott,Total,Total,0.66
good_self_rated_health,2018,chesprocott,Gender,Male,0.69
good_self_rated_health,2018,chesprocott,Gender,Female,0.61
good_self_rated_health,2018,chesprocott,Age,Under age 55,0.72
good_self_rated_health,2018,chesprocott,Age,Age 55 or older,0.56
good_self_rated_health,2018,chesprocott,Education,Bachelor's or higher,0.72
good_self_rated_health,2018,chesprocott,Education,Some college or less,0.57
good_self_rated_health,2018,chesprocott,Income,$75K+,0.8
good_self_rated_health,2018,chesprocott,Income,<$75K,0.52
good_self_rated_health,2018,chesprocott,With children,No children,0.6
good_self_rated_health,2018,chesprocott,With children,Children in household,0.73
good_self_rated_health,2018,connecticut,Total,Total,0.59
good_self_rated_health,2018,connecticut,Gender,Male,0.61
good_self_rated_health,2018,connecticut,Gender,Female,0.57
good_self_rated_health,2018,connecticut,Age,Ages 18-34,0.62
good_self_rated_health,2018,connecticut,Age,Ages 35-49,0.6
good_self_rated_health,2018,connecticut,Age,Ages 50-64,0.59
good_self_rated_health,2018,connecticut,Age,Ages 65+,0.53
good_self_rated_health,2018,connecticut,Race/Ethnicity,White,0.6
good_self_rated_health,2018,connecticut,Race/Ethnicity,Black,0.52
good_self_rated_health,2018,connecticut,Race/Ethnicity,Latino,0.5700000000000001
good_self_rated_health,2018,connecticut,Education,High school or less,0.48
good_self_rated_health,2018,connecticut,Education,Some college or Associate's,0.54
good_self_rated_health,2018,connecticut,Education,Bachelor's or higher,0.68
good_self_rated_health,2018,connecticut,Income,<$15K,0.38
good_self_rated_health,2018,connecticut,Income,$15K-$30K,0.42000000000000004
good_self_rated_health,2018,connecticut,Income,$30K-$50K,0.49
good_self_rated_health,2018,connecticut,Income,$50K-$75K,0.6
good_self_rated_health,2018,connecticut,Income,$75K-$100K,0.6499999999999999
good_self_rated_health,2018,connecticut,Income,$100K-$200K,0.72
good_self_rated_health,2018,connecticut,Income,$200K+,0.8
good_self_rated_health,2018,connecticut,With children,No children,0.57
good_self_rated_health,2018,connecticut,With children,Children in household,0.64
good_self_rated_health,2018,danbury,Total,Total,0.6464646464646465
good_self_rated_health,2018,danbury,Gender,Male,0.6565656565656566
good_self_rated_health,2018,danbury,Gender,Female,0.63
good_self_rated_health,2018,danbury,Age,Ages 18-34,0.7
good_self_rated_health,2018,danbury,Age,Ages 35-49,0.66
good_self_rated_health,2018,danbury,Age,Ages 50-64,0.6224489795918368
good_self_rated_health,2018,danbury,Age,Ages 65+,0.54
good_self_rated_health,2018,danbury,Race/Ethnicity,White,0.6666666666666667
good_self_rated_health,2018,danbury,Race/Ethnicity,Not white,0.5800000000000001
good_self_rated_health,2018,danbury,Education,High school or less,0.56
good_self_rated_health,2018,danbury,Education,Some college or Associate's,0.6
good_self_rated_health,2018,danbury,Education,Bachelor's or higher,0.7171717171717171
good_self_rated_health,2018,danbury,Income,<$30K,0.53
good_self_rated_health,2018,danbury,Income,$30K-$75K,0.68
good_self_rated_health,2018,danbury,Income,$75K+,0.6868686868686869
good_self_rated_health,2018,danbury,With children,No children,0.63
good_self_rated_health,2018,danbury,With children,Children in household,0.6767676767676767
good_self_rated_health,2018,darien,Total,Total,0.7575757575757576
good_self_rated_health,2018,darien,Gender,Male,0.7244897959183674
good_self_rated_health,2018,darien,Gender,Female,0.79
good_self_rated_health,2018,east_hartford,Total,Total,0.5555555555555556
good_self_rated_health,2018,east_haven,Total,Total,0.54
good_self_rated_health,2018,east_haven,Gender,Male,0.49
good_self_rated_health,2018,east_haven,Gender,Female,0.5800000000000001
good_self_rated_health,2018,east_haven,Age,Under age 55,0.6000000000000001
good_self_rated_health,2018,east_haven,Age,Age 55 or older,0.45
good_self_rated_health,2018,east_haven,Education,High school or less,0.44999999999999996
good_self_rated_health,2018,east_haven,Education,Some college or higher,0.59
good_self_rated_health,2018,east_haven,Income,$75K+,0.5700000000000001
good_self_rated_health,2018,east_haven,Income,<$75K,0.5
good_self_rated_health,2018,ehhd,Total,Total,0.64
good_self_rated_health,2018,ehhd,Gender,Male,0.6868686868686869
good_self_rated_health,2018,ehhd,Gender,Female,0.6
good_self_rated_health,2018,ehhd,Age,Under age 55,0.6499999999999999
good_self_rated_health,2018,ehhd,Age,Age 55 or older,0.6363636363636364
good_self_rated_health,2018,ehhd,Education,Bachelor's or higher,0.6767676767676767
good_self_rated_health,2018,ehhd,Education,Some college or less,0.62
good_self_rated_health,2018,ehhd,Income,$75K+,0.7
good_self_rated_health,2018,ehhd,Income,<$75K,0.5656565656565657
good_self_rated_health,2018,ehhd,With children,No children,0.62
good_self_rated_health,2018,ehhd,With children,Children in household,0.72
good_self_rated_health,2018,fairfield,Total,Total,0.6938775510204082
good_self_rated_health,2018,fairfield,Gender,Male,0.6969696969696969
good_self_rated_health,2018,fairfield,Gender,Female,0.7010309278350515
good_self_rated_health,2018,fairfield,Age,Under age 55,0.7142857142857143
good_self_rated_health,2018,fairfield,Age,Age 55 or older,0.6767676767676768
good_self_rated_health,2018,fairfield,Education,Bachelor's or higher,0.7171717171717171
good_self_rated_health,2018,fairfield,Education,Some college or less,0.65625
good_self_rated_health,2018,fairfield,Income,$75K+,0.7676767676767677
good_self_rated_health,2018,fairfield,Income,<$75K,0.54
good_self_rated_health,2018,fairfield,With children,No children,0.7070707070707071
good_self_rated_health,2018,fairfield,With children,Children in household,0.6804123711340205
good_self_rated_health,2018,fairfield_county,Total,Total,0.63
good_self_rated_health,2018,fairfield_county,Gender,Male,0.63
good_self_rated_health,2018,fairfield_county,Gender,Female,0.6464646464646465
good_self_rated_health,2018,fairfield_county,Age,Ages 18-34,0.65
good_self_rated_health,2018,fairfield_county,Age,Ages 35-49,0.66
good_self_rated_health,2018,fairfield_county,Age,Ages 50-64,0.6399999999999999
good_self_rated_health,2018,fairfield_county,Age,Ages 65+,0.56
good_self_rated_health,2018,fairfield_county,Race/Ethnicity,White,0.6767676767676768
good_self_rated_health,2018,fairfield_county,Race/Ethnicity,Black,0.5
good_self_rated_health,2018,fairfield_county,Race/Ethnicity,Latino,0.5800000000000001
good_self_rated_health,2018,fairfield_county,Education,High school or less,0.49
good_self_rated_health,2018,fairfield_county,Education,Some college or Associate's,0.5800000000000001
good_self_rated_health,2018,fairfield_county,Education,Bachelor's or higher,0.7
good_self_rated_health,2018,fairfield_county,Income,<$15K,0.36363636363636365
good_self_rated_health,2018,fairfield_county,Income,$15K-$30K,0.45
good_self_rated_health,2018,fairfield_county,Income,$30K-$50K,0.54
good_self_rated_health,2018,fairfield_county,Income,$50K-$75K,0.63
good_self_rated_health,2018,fairfield_county,Income,$75K-$100K,0.6799999999999999
good_self_rated_health,2018,fairfield_county,Income,$100K-$200K,0.73
good_self_rated_health,2018,fairfield_county,Income,$200K+,0.81
good_self_rated_health,2018,fairfield_county,With children,No children,0.6
good_self_rated_health,2018,fairfield_county,With children,Children in household,0.6799999999999999
good_self_rated_health,2018,fcht,Total,Total,0.7272727272727273
good_self_rated_health,2018,fcht,Gender,Male,0.8163265306122449
good_self_rated_health,2018,fcht,Gender,Female,0.64
good_self_rated_health,2018,fcht,Age,Under age 55,0.8300000000000001
good_self_rated_health,2018,fcht,Age,Age 55 or older,0.6326530612244898
good_self_rated_health,2018,fcht,Education,Bachelor's or higher,0.7755102040816326
good_self_rated_health,2018,fcht,Education,Some college or less,0.68
good_self_rated_health,2018,fcht,Income,$75K+,0.8163265306122449
good_self_rated_health,2018,fcht,Income,<$75K,0.54
good_self_rated_health,2018,greater_bridgeport,Total,Total,0.5454545454545455
good_self_rated_health,2018,greater_bridgeport,Gender,Male,0.52
good_self_rated_health,2018,greater_bridgeport,Gender,Female,0.5656565656565657
good_self_rated_health,2018,greater_bridgeport,Age,Ages 18-34,0.56
good_self_rated_health,2018,greater_bridgeport,Age,Ages 35-49,0.55
good_self_rated_health,2018,greater_bridgeport,Age,Ages 50-64,0.56
good_self_rated_health,2018,greater_bridgeport,Age,Ages 65+,0.44999999999999996
good_self_rated_health,2018,greater_bridgeport,Race/Ethnicity,White,0.5959595959595959
good_self_rated_health,2018,greater_bridgeport,Race/Ethnicity,Black,0.47000000000000003
good_self_rated_health,2018,greater_bridgeport,Race/Ethnicity,Latino,0.52
good_self_rated_health,2018,greater_bridgeport,Education,High school or less,0.41000000000000003
good_self_rated_health,2018,greater_bridgeport,Education,Some college or Associate's,0.5050505050505051
good_self_rated_health,2018,greater_bridgeport,Education,Bachelor's or higher,0.64
good_self_rated_health,2018,greater_bridgeport,Income,<$15K,0.32999999999999996
good_self_rated_health,2018,greater_bridgeport,Income,$15K-$30K,0.44
good_self_rated_health,2018,greater_bridgeport,Income,$30K-$50K,0.49
good_self_rated_health,2018,greater_bridgeport,Income,$50K-$75K,0.54
good_self_rated_health,2018,greater_bridgeport,Income,$75K-$100K,0.585858585858586
good_self_rated_health,2018,greater_bridgeport,Income,$100K-$200K,0.71
good_self_rated_health,2018,greater_bridgeport,Income,$200K+,0.76
good_self_rated_health,2018,greater_bridgeport,With children,No children,0.51
good_self_rated_health,2018,greater_bridgeport,With children,Children in household,0.6000000000000001
good_self_rated_health,2018,greater_greenwich,Total,Total,0.6699999999999999
good_self_rated_health,2018,greater_greenwich,Gender,Male,0.64
good_self_rated_health,2018,greater_greenwich,Gender,Female,0.69
good_self_rated_health,2018,greater_greenwich,Age,Ages 18-34,0.69
good_self_rated_health,2018,greater_greenwich,Age,Ages 35-49,0.7
good_self_rated_health,2018,greater_greenwich,Age,Ages 50-64,0.6799999999999999
good_self_rated_health,2018,greater_greenwich,Age,Ages 65+,0.59
good_self_rated_health,2018,greater_greenwich,Race/Ethnicity,White,0.69
good_self_rated_health,2018,greater_greenwich,Race/Ethnicity,Black,0.57
good_self_rated_health,2018,greater_greenwich,Race/Ethnicity,Latino,0.5900000000000001
good_self_rated_health,2018,greater_greenwich,Education,High school or less,0.52
good_self_rated_health,2018,greater_greenwich,Education,Some college or Associate's,0.6464646464646465
good_self_rated_health,2018,greater_greenwich,Education,Bachelor's or higher,0.72
good_self_rated_health,2018,greater_greenwich,Income,<$30K,0.43
good_self_rated_health,2018,greater_greenwich,Income,$30K-$75K,0.63
good_self_rated_health,2018,greater_greenwich,Income,$75K+,0.77
good_self_rated_health,2018,greater_greenwich,With children,No children,0.65
good_self_rated_health,2018,greater_greenwich,With children,Children in household,0.7
good_self_rated_health,2018,greater_hartford,Total,Total,0.59
good_self_rated_health,2018,greater_hartford,Gender,Male,0.62
good_self_rated_health,2018,greater_hartford,Gender,Female,0.5599999999999999
good_self_rated_health,2018,greater_hartford,Age,Ages 18-34,0.6499999999999999
good_self_rated_health,2018,greater_hartford,Age,Ages 35-49,0.59
good_self_rated_health,2018,greater_hartford,Age,Ages 50-64,0.57
good_self_rated_health,2018,greater_hartford,Age,Ages 65+,0.52
good_self_rated_health,2018,greater_hartford,Race/Ethnicity,White,0.6
good_self_rated_health,2018,greater_hartford,Race/Ethnicity,Black,0.5252525252525253
good_self_rated_health,2018,greater_hartford,Race/Ethnicity,Latino,0.5900000000000001
good_self_rated_health,2018,greater_hartford,Education,High school or less,0.48000000000000004
good_self_rated_health,2018,greater_hartford,Education,Some college or Associate's,0.5252525252525253
good_self_rated_health,2018,greater_hartford,Education,Bachelor's or higher,0.69
good_self_rated_health,2018,greater_hartford,Income,<$15K,0.39
good_self_rated_health,2018,greater_hartford,Income,$15K-$30K,0.4444444444444444
good_self_rated_health,2018,greater_hartford,Income,$30K-$50K,0.5050505050505051
good_self_rated_health,2018,greater_hartford,Income,$50K-$75K,0.61
good_self_rated_health,2018,greater_hartford,Income,$75K-$100K,0.65
good_self_rated_health,2018,greater_hartford,Income,$100K-$200K,0.6900000000000001
good_self_rated_health,2018,greater_hartford,Income,$200K+,0.8200000000000001
good_self_rated_health,2018,greater_hartford,With children,No children,0.57
good_self_rated_health,2018,greater_hartford,With children,Children in household,0.63
good_self_rated_health,2018,greater_new_haven,Total,Total,0.58
good_self_rated_health,2018,greater_new_haven,Gender,Male,0.6
good_self_rated_health,2018,greater_new_haven,Gender,Female,0.5656565656565656
good_self_rated_health,2018,greater_new_haven,Age,Ages 18-34,0.62
good_self_rated_health,2018,greater_new_haven,Age,Ages 35-49,0.58
good_self_rated_health,2018,greater_new_haven,Age,Ages 50-64,0.61
good_self_rated_health,2018,greater_new_haven,Age,Ages 65+,0.5
good_self_rated_health,2018,greater_new_haven,Race/Ethnicity,White,0.6060606060606061
good_self_rated_health,2018,greater_new_haven,Race/Ethnicity,Black,0.51
good_self_rated_health,2018,greater_new_haven,Race/Ethnicity,Latino,0.51
good_self_rated_health,2018,greater_new_haven,Education,High school or less,0.4747474747474748
good_self_rated_health,2018,greater_new_haven,Education,Some college or Associate's,0.5353535353535354
good_self_rated_health,2018,greater_new_haven,Education,Bachelor's or higher,0.6699999999999999
good_self_rated_health,2018,greater_new_haven,Income,<$15K,0.4
good_self_rated_health,2018,greater_new_haven,Income,$15K-$30K,0.44000000000000006
good_self_rated_health,2018,greater_new_haven,Income,$30K-$50K,0.47
good_self_rated_health,2018,greater_new_haven,Income,$50K-$75K,0.61
good_self_rated_health,2018,greater_new_haven,Income,$75K-$100K,0.64
good_self_rated_health,2018,greater_new_haven,Income,$100K-$200K,0.72
good_self_rated_health,2018,greater_new_haven,Income,$200K+,0.76
good_self_rated_health,2018,greater_new_haven,With children,No children,0.5656565656565656
good_self_rated_health,2018,greater_new_haven,With children,Children in household,0.63
good_self_rated_health,2018,greater_new_london,Total,Total,0.57
good_self_rated_health,2018,greater_new_london,Gender,Male,0.5700000000000001
good_self_rated_health,2018,greater_new_london,Gender,Female,0.55
good_self_rated_health,2018,greater_new_london,Age,Ages 18-34,0.55
good_self_rated_health,2018,greater_new_london,Age,Ages 35-49,0.55
good_self_rated_health,2018,greater_new_london,Age,Ages 50-64,0.5555555555555556
good_self_rated_health,2018,greater_new_london,Age,Ages 65+,0.6060606060606061
good_self_rated_health,2018,greater_new_london,Race/Ethnicity,White,0.57
good_self_rated_health,2018,greater_new_london,Race/Ethnicity,Not white,0.53
good_self_rated_health,2018,greater_new_london,Education,High school or less,0.4242424242424243
good_self_rated_health,2018,greater_new_london,Education,Some college or Associate's,0.53
good_self_rated_health,2018,greater_new_london,Education,Bachelor's or higher,0.65
good_self_rated_health,2018,greater_new_london,Income,<$30K,0.46
good_self_rated_health,2018,greater_new_london,Income,$30K-$75K,0.47
good_self_rated_health,2018,greater_new_london,Income,$75K+,0.69
good_self_rated_health,2018,greater_new_london,With children,No children,0.5599999999999999
good_self_rated_health,2018,greater_new_london,With children,Children in household,0.5700000000000001
good_self_rated_health,2018,greater_waterbury,Total,Total,0.57
good_self_rated_health,2018,greater_waterbury,Gender,Male,0.6
good_self_rated_health,2018,greater_waterbury,Gender,Female,0.54
good_self_rated_health,2018,greater_waterbury,Age,Ages 18-34,0.64
good_self_rated_health,2018,greater_waterbury,Age,Ages 35-49,0.6161616161616161
good_self_rated_health,2018,greater_waterbury,Age,Ages 50-64,0.56
good_self_rated_health,2018,greater_waterbury,Age,Ages 65+,0.49
good_self_rated_health,2018,greater_waterbury,Race/Ethnicity,White,0.57
good_self_rated_health,2018,greater_waterbury,Race/Ethnicity,Black,0.54
good_self_rated_health,2018,greater_waterbury,Race/Ethnicity,Latino,0.5800000000000001
good_self_rated_health,2018,greater_waterbury,Education,High school or less,0.48
good_self_rated_health,2018,greater_waterbury,Education,Some college or Associate's,0.5
good_self_rated_health,2018,greater_waterbury,Education,Bachelor's or higher,0.6969696969696969
good_self_rated_health,2018,greater_waterbury,Income,<$15K,0.39
good_self_rated_health,2018,greater_waterbury,Income,$15K-$30K,0.39
good_self_rated_health,2018,greater_waterbury,Income,$30K-$50K,0.44444444444444453
good_self_rated_health,2018,greater_waterbury,Income,$50K-$75K,0.55
good_self_rated_health,2018,greater_waterbury,Income,$75K-$100K,0.69
good_self_rated_health,2018,greater_waterbury,Income,$100K-$200K,0.77
good_self_rated_health,2018,greater_waterbury,Income,$200K+,0.8181818181818182
good_self_rated_health,2018,greater_waterbury,With children,No children,0.55
good_self_rated_health,2018,greater_waterbury,With children,Children in household,0.62
good_self_rated_health,2018,greenwich,Total,Total,0.7373737373737373
good_self_rated_health,2018,greenwich,Gender,Male,0.7171717171717171
good_self_rated_health,2018,greenwich,Gender,Female,0.7575757575757576
good_self_rated_health,2018,greenwich,Age,Ages 18-34,0.74
good_self_rated_health,2018,greenwich,Age,Ages 35-54,0.7474747474747475
good_self_rated_health,2018,greenwich,Age,Ages 55+,0.73
good_self_rated_health,2018,greenwich,Race/Ethnicity,White,0.75
good_self_rated_health,2018,greenwich,Race/Ethnicity,Not white,0.73
good_self_rated_health,2018,greenwich,Income,$75K+,0.8200000000000001
good_self_rated_health,2018,greenwich,Income,<$75K,0.62
good_self_rated_health,2018,greenwich,With children,No children,0.7070707070707071
good_self_rated_health,2018,greenwich,With children,Children in household,0.78
good_self_rated_health,2018,hamden,Total,Total,0.5555555555555556
good_self_rated_health,2018,hamden,Gender,Male,0.6000000000000001
good_self_rated_health,2018,hamden,Gender,Female,0.5204081632653061
good_self_rated_health,2018,hamden,Age,Under age 55,0.6060606060606061
good_self_rated_health,2018,hamden,Age,Age 55 or older,0.4646464646464647
good_self_rated_health,2018,hamden,Race/Ethnicity,White,0.61
good_self_rated_health,2018,hamden,Race/Ethnicity,Not white,0.4646464646464647
good_self_rated_health,2018,hamden,Education,High school or less,0.6938775510204082
good_self_rated_health,2018,hamden,Education,Some college or Associate's,0.37
good_self_rated_health,2018,hamden,Education,Bachelor's or higher,0.6060606060606061
good_self_rated_health,2018,hamden,Income,$75K+,0.72
good_self_rated_health,2018,hamden,Income,<$75K,0.45454545454545464
good_self_rated_health,2018,hamden,With children,No children,0.5151515151515151
good_self_rated_health,2018,hamden,With children,Children in household,0.6363636363636364
good_self_rated_health,2018,hartford,Total,Total,0.52
good_self_rated_health,2018,hartford,Gender,Male,0.5700000000000001
good_self_rated_health,2018,hartford,Gender,Female,0.48484848484848486
good_self_rated_health,2018,hartford,Age,Ages 18-34,0.59
good_self_rated_health,2018,hartford,Age,Ages 35-49,0.5858585858585859
good_self_rated_health,2018,hartford,Age,Ages 50-64,0.41
good_self_rated_health,2018,hartford,Age,Ages 65+,0.41000000000000003
good_self_rated_health,2018,hartford,Race/Ethnicity,White,0.6000000000000001
good_self_rated_health,2018,hartford,Race/Ethnicity,Black,0.48
good_self_rated_health,2018,hartford,Race/Ethnicity,Latino,0.53
good_self_rated_health,2018,hartford,Education,High school or less,0.48484848484848486
good_self_rated_health,2018,hartford,Education,Some college or Associate's,0.49
good_self_rated_health,2018,hartford,Education,Bachelor's or higher,0.6399999999999999
good_self_rated_health,2018,hartford,Income,<$30K,0.43
good_self_rated_health,2018,hartford,Income,$30K-$75K,0.5800000000000001
good_self_rated_health,2018,hartford,Income,$75K+,0.7
good_self_rated_health,2018,hartford,With children,No children,0.5
good_self_rated_health,2018,hartford,With children,Children in household,0.56
good_self_rated_health,2018,hartford_inner_ring,Total,Total,0.53
good_self_rated_health,2018,hartford_inner_ring,Gender,Male,0.5757575757575757
good_self_rated_health,2018,hartford_inner_ring,Gender,Female,0.5
good_self_rated_health,2018,hartford_inner_ring,Age,Ages 18-34,0.5858585858585859
good_self_rated_health,2018,hartford_inner_ring,Age,Ages 35-49,0.55
good_self_rated_health,2018,hartford_inner_ring,Age,Ages 50-64,0.5
good_self_rated_health,2018,hartford_inner_ring,Age,Ages 65+,0.47474747474747475
good_self_rated_health,2018,hartford_inner_ring,Race/Ethnicity,White,0.51
good_self_rated_health,2018,hartford_inner_ring,Race/Ethnicity,Black,0.5151515151515151
good_self_rated_health,2018,hartford_inner_ring,Race/Ethnicity,Latino,0.6
good_self_rated_health,2018,hartford_inner_ring,Education,High school or less,0.44999999999999996
good_self_rated_health,2018,hartford_inner_ring,Education,Some college or Associate's,0.47474747474747475
good_self_rated_health,2018,hartford_inner_ring,Education,Bachelor's or higher,0.62
good_self_rated_health,2018,hartford_inner_ring,Income,<$15K,0.35
good_self_rated_health,2018,hartford_inner_ring,Income,$15K-$30K,0.4040404040404041
good_self_rated_health,2018,hartford_inner_ring,Income,$30K-$50K,0.4795918367346939
good_self_rated_health,2018,hartford_inner_ring,Income,$50K-$75K,0.52
good_self_rated_health,2018,hartford_inner_ring,Income,$75K-$100K,0.5900000000000001
good_self_rated_health,2018,hartford_inner_ring,Income,$100K+,0.68
good_self_rated_health,2018,hartford_inner_ring,With children,No children,0.5151515151515151
good_self_rated_health,2018,hartford_inner_ring,With children,Children in household,0.56
good_self_rated_health,2018,hartford_outer_ring,Total,Total,0.6699999999999999
good_self_rated_health,2018,hartford_outer_ring,Gender,Male,0.6599999999999999
good_self_rated_health,2018,hartford_outer_ring,Gender,Female,0.6699999999999999
good_self_rated_health,2018,hartford_outer_ring,Age,Ages 18-34,0.76
good_self_rated_health,2018,hartford_outer_ring,Age,Ages 35-49,0.6000000000000001
good_self_rated_health,2018,hartford_outer_ring,Age,Ages 50-64,0.69
good_self_rated_health,2018,hartford_outer_ring,Age,Ages 65+,0.59
good_self_rated_health,2018,hartford_outer_ring,Race/Ethnicity,White,0.6799999999999999
good_self_rated_health,2018,hartford_outer_ring,Race/Ethnicity,Not white,0.62
good_self_rated_health,2018,hartford_outer_ring,Education,High school or less,0.61
good_self_rated_health,2018,hartford_outer_ring,Education,Some college or Associate's,0.585858585858586
good_self_rated_health,2018,hartford_outer_ring,Education,Bachelor's or higher,0.73
good_self_rated_health,2018,hartford_outer_ring,Income,<$30K,0.54
good_self_rated_health,2018,hartford_outer_ring,Income,$30K-$75K,0.65
good_self_rated_health,2018,hartford_outer_ring,Income,$75K+,0.71
good_self_rated_health,2018,hartford_outer_ring,With children,No children,0.6565656565656565
good_self_rated_health,2018,hartford_outer_ring,With children,Children in household,0.69
good_self_rated_health,2018,manchester,Total,Total,0.6
good_self_rated_health,2018,manchester,Gender,Male,0.66
good_self_rated_health,2018,manchester,Gender,Female,0.54
good_self_rated_health,2018,manchester,Age,Under age 55,0.62
good_self_rated_health,2018,manchester,Age,Age 55 or older,0.56
good_self_rated_health,2018,manchester,Education,Bachelor's or higher,0.69
good_self_rated_health,2018,manchester,Education,Some college or less,0.54
good_self_rated_health,2018,manchester,Income,$75K+,0.5800000000000001
good_self_rated_health,2018,manchester,Income,<$75K,0.5900000000000001
good_self_rated_health,2018,meriden,Total,Total,0.52
good_self_rated_health,2018,meriden,Gender,Male,0.5306122448979592
good_self_rated_health,2018,meriden,Gender,Female,0.53
good_self_rated_health,2018,meriden,Age,Under age 55,0.5959595959595959
good_self_rated_health,2018,meriden,Age,Age 55 or older,0.43000000000000005
good_self_rated_health,2018,meriden,Race/Ethnicity,White,0.5252525252525253
good_self_rated_health,2018,meriden,Race/Ethnicity,Not white,0.55
good_self_rated_health,2018,meriden,Education,High school or less,0.35
good_self_rated_health,2018,meriden,Education,Some college or Associate's,0.5151515151515151
good_self_rated_health,2018,meriden,Education,Bachelor's or higher,0.6799999999999999
good_self_rated_health,2018,meriden,Income,<$30K,0.31
good_self_rated_health,2018,meriden,Income,$30K-$75K,0.5252525252525253
good_self_rated_health,2018,meriden,Income,$75K+,0.71
good_self_rated_health,2018,meriden,With children,No children,0.4848484848484849
good_self_rated_health,2018,meriden,With children,Children in household,0.6161616161616161
good_self_rated_health,2018,middlesex_county,Total,Total,0.5757575757575758
good_self_rated_health,2018,middlesex_county,Gender,Male,0.6100000000000001
good_self_rated_health,2018,middlesex_county,Gender,Female,0.5510204081632654
good_self_rated_health,2018,middlesex_county,Age,Under age 55,0.585858585858586
good_self_rated_health,2018,middlesex_county,Age,Age 55 or older,0.5858585858585859
good_self_rated_health,2018,middlesex_county,Education,High school or less,0.48
good_self_rated_health,2018,middlesex_county,Education,Some college or Associate's,0.58
good_self_rated_health,2018,middlesex_county,Education,Bachelor's or higher,0.6326530612244898
good_self_rated_health,2018,middlesex_county,Income,$75K+,0.6938775510204082
good_self_rated_health,2018,middlesex_county,Income,<$75K,0.46
good_self_rated_health,2018,middlesex_county,With children,No children,0.5656565656565657
good_self_rated_health,2018,middlesex_county,With children,Children in household,0.653061224489796
good_self_rated_health,2018,middletown,Total,Total,0.5252525252525253
good_self_rated_health,2018,middletown,Gender,Male,0.49
good_self_rated_health,2018,middletown,Gender,Female,0.5555555555555556
good_self_rated_health,2018,middletown,Age,Under age 55,0.5353535353535354
good_self_rated_health,2018,middletown,Age,Age 55 or older,0.5050505050505051
good_self_rated_health,2018,middletown,Education,Bachelor's or higher,0.5454545454545455
good_self_rated_health,2018,middletown,Education,Some college or less,0.5
good_self_rated_health,2018,middletown,Income,$75K+,0.59
good_self_rated_health,2018,middletown,Income,<$75K,0.48
