code,category,response,value,group,year
Q21,Total,Somewhat,0.19,Total,2018
Q21,Total,Mostly,0.39,Total,2018
Q21,Total,Completely,0.3,Total,2018
Q21,Total,Don't know,0.01,Total,2018
Q21,Total,Refused,0,Total,2018
Q22,Total,Not at all,0.44,Total,2018
Q22,Total,Only a little bit,0.22,Total,2018
Q22,Total,Somewhat,0.2,Total,2018
Q22,Total,Mostly,0.07,Total,2018
Q22,Total,Completely,0.05,Total,2018
Q22,Total,Don't know,0.01,Total,2018
Q22,Total,Refused,0,Total,2018
Q23,Total,Not at all,0.05,Total,2018
Q23,Total,Only a little bit,0.19,Total,2018
Q23,Total,Somewhat,0.3,Total,2018
Q23,Total,Mostly,0.28,Total,2018
Q23,Total,Completely,0.16,Total,2018
Q23,Total,Don't know,0,Total,2018
Q23,Total,Refused,0,Total,2018
Q23PL,Total,Strongly agree,0.36,Total,2018
Q23PL,Total,Agree,0.31,Total,2018
Q23PL,Total,Slightly agree,0.15,Total,2018
Q23PL,Total,Neither agree nor disagree,0.09,Total,2018
Q23PL,Total,Slightly disagree,0.04,Total,2018
Q23PL,Total,Disagree,0.02,Total,2018
Q23PL,Total,Strongly disagree,0.02,Total,2018
Q23PL,Total,Don't know,0,Total,2018
Q23PL,Total,Refused,0,Total,2018
Q23A,Total,Yes,0.3,Total,2018
Q23A,Total,No,0.69,Total,2018
Q23A,Total,Don't know,0,Total,2018
Q23A,Total,Refused,0.01,Total,2018
Q23A1,Total,Yes,0.78,Total,2018
Q23A1,Total,No,0.22,Total,2018
Q23A1,Total,Don't know,0,Total,2018
Q23A1,Total,Refused,0,Total,2018
Q23C,Total,Yes,0.1,Total,2018
Q23C,Total,No,0.89,Total,2018
Q23C,Total,Don't know,0,Total,2018
Q23C,Total,Refused,0.01,Total,2018
Q23C1,Total,One,0.2,Total,2018
Q23C1,Total,Two,0.25,Total,2018
Q23C1,Total,Three,0.19,Total,2018
Q23C1,Total,Four,0.24,Total,2018
Q23C1,Total,Five or more,0.1,Total,2018
Q23C1,Total,Never heard of it,0.01,Total,2018
Q23C1,Total,Don't know,0.01,Total,2018
Q23C1,Total,Refused,0.01,Total,2018
Q23D,Total,Yes,0.06,Total,2018
Q23D,Total,No,0.93,Total,2018
Q23D,Total,Don't know,0,Total,2018
Q23D,Total,Refused,0.01,Total,2018
Q23E,Total,Yes,0.15,Total,2018
Q23E,Total,No,0.84,Total,2018
Q23E,Total,Don't know,0,Total,2018
Q23E,Total,Refused,0.01,Total,2018
Q23E2,Total,Yes,0.69,Total,2018
Q23E2,Total,No,0.3,Total,2018
Q23E2,Total,Don't know,0.01,Total,2018
Q23E2,Total,Refused,0,Total,2018
Q23E2,Total,Current Asthma Rate (based on Q23E*23E2),0.1035,Total,2018
Q23E3,Total,None,0.69,Total,2018
Q23E3,Total,One to two,0.16,Total,2018
Q23E3,Total,Three or more,0.05,Total,2018
Q23E3,Total,Don't know,0.06,Total,2018
Q23E3,Total,Refused,0.04,Total,2018
Q23E1,Total,Never (no attacks in the last 30 days),0.5,Total,2018
Q23E1,Total,Once a week or less,0.2,Total,2018
Q23E1,Total,Twice a week,0.07,Total,2018
Q23E1,Total,3 to 6 times a week,0.06,Total,2018
Q23E1,Total,Once a day,0.08,Total,2018
Q23E1,Total,More than once a day,0.07,Total,2018
Q23E1,Total,Don't know,0.01,Total,2018
Q23E1,Total,Refused,0.01,Total,2018
BMIR,Total,Underweight,0.02,Total,2018
BMIR,Total,Normal weight,0.33,Total,2018
BMIR,Total,Overweight,0.36,Total,2018
BMIR,Total,Obese,0.29,Total,2018
Q26,Total,Yes,0.94,Total,2018
Q26,Total,No,0.05,Total,2018
Q26,Total,Don't know,0,Total,2018
Q26,Total,Refused,0.01,Total,2018
Q27,Total,Insurance obtained through a current or former employer or union,0.57,Total,2018
Q27,Total,Insurance purchased directly from an insurance company,0.11,Total,2018
Q27,Total,Medicare,0.23,Total,2018
Q27,Total,"Medicaid, Medical Assistance, HUSKY or any kind of government-assistance plan",0.16,Total,2018
Q27,Total,State Health Insurance Exchange such as Access Health CT or NY State of Health,0.07,Total,2018
Q27,Total,Any other type of health insurance plan Other,0.05,Total,2018
Q27,Total,Don't know,0.01,Total,2018
Q27,Total,Refused,0.01,Total,2018
Q28,Total,Yes,0.09,Total,2018
Q28,Total,No,0.9,Total,2018
Q28,Total,Don't know,0,Total,2018
Q28,Total,Refused,0,Total,2018
Q29,Total,Yes,0.23,Total,2018
Q29,Total,No,0.77,Total,2018
Q29,Total,Don't know,0,Total,2018
Q29,Total,Refused,0,Total,2018
Q30A,Total,Yes,0.5,Total,2018
Q30A,Total,No,0.5,Total,2018
Q30A,Total,Don't know,0,Total,2018
Q30A,Total,Refused,0,Total,2018
Q30B,Total,Yes,0.18,Total,2018
Q30B,Total,No,0.81,Total,2018
Q30B,Total,Don't know,0.01,Total,2018
Q30B,Total,Refused,0,Total,2018
Q30C,Total,Yes,0.29,Total,2018
Q30C,Total,No,0.69,Total,2018
Q30C,Total,Don't know,0.02,Total,2018
Q30C,Total,Refused,0,Total,2018
Q30D,Total,Yes,0.3,Total,2018
Q30D,Total,No,0.69,Total,2018
Q30D,Total,Don't know,0.01,Total,2018
Q30D,Total,Refused,0,Total,2018
Q30E,Total,Yes,0.25,Total,2018
Q30E,Total,No,0.74,Total,2018
Q30E,Total,Don't know,0.01,Total,2018
Q30E,Total,Refused,0,Total,2018
Q30F,Total,Yes,0.53,Total,2018
Q30F,Total,No,0.46,Total,2018
Q30F,Total,Don't know,0,Total,2018
Q30F,Total,Refused,0,Total,2018
Q30H,Total,Yes,0.22,Total,2018
Q30H,Total,No,0.77,Total,2018
Q30H,Total,Don't know,0,Total,2018
Q30H,Total,Refused,0,Total,2018
Q30G,Total,Yes,0.47,Total,2018
Q30G,Total,No,0.52,Total,2018
Q30G,Total,Don't know,0.01,Total,2018
Q30G,Total,Refused,0,Total,2018
Q31,Total,Yes,0.09,Total,2018
Q31,Total,No,0.91,Total,2018
Q31,Total,Don't know,0,Total,2018
Q31,Total,Refused,0,Total,2018
Q31_1,Total,Yes,0.07,Total,2018
Q31_1,Total,No,0.93,Total,2018
Q31_1,Total,Don't know,0,Total,2018
Q31_1,Total,Refused,0,Total,2018
Q32,Total,Yes,0.83,Total,2018
Q32,Total,No,0.16,Total,2018
Q32,Total,Don't know,0,Total,2018
Q32,Total,Refused,0,Total,2018
Q33,Total,More than one,0.26,Total,2018
Q33,Total,None at all,0.71,Total,2018
Q33,Total,Don't know,0.02,Total,2018
Q33,Total,Refused,0.01,Total,2018
Q33,Total,No Medical Home (Q32*Q33),0.11359999999999999,Total,2018
Q34,Total,None,0.73,Total,2018
Q34,Total,1 to 2,0.22,Total,2018
Q34,Total,3 or more,0.04,Total,2018
Q34,Total,Don't know,0,Total,2018
Q34,Total,Refused,0,Total,2018
Q35,Total,Within the last 6 months,0.6,Total,2018
Q35,Total,More than 6 months but less than a year,0.14,Total,2018
Q35,Total,More than a year but less than two years,0.11,Total,2018
Q35,Total,More than two years ago,0.13,Total,2018
Q35,Total,Never have gone to a dentist,0.01,Total,2018
Q35,Total,Don't know,0,Total,2018
Q35,Total,Refused,0,Total,2018
Q37,Total,Yes,0.92,Total,2018
Q37,Total,No,0.08,Total,2018
Q37,Total,Don't know,0,Total,2018
Q37,Total,Refused,0,Total,2018
Q37_1,Total,Always,0.39,Total,2018
Q37_1,Total,Usually,0.31,Total,2018
Q37_1,Total,Sometimes,0.18,Total,2018
Q37_1,Total,Rarely,0.06,Total,2018
Q37_1,Total,Never,0.05,Total,2018
Q37_1,Total,Don't know,0.01,Total,2018
Q37_1,Total,Refused,0.01,Total,2018
Q37_2,Total,Not at all,0.65,Total,2018
Q37_2,Total,Several days,0.2,Total,2018
Q37_2,Total,More than half the days,0.07,Total,2018
Q37_2,Total,Nearly every day,0.06,Total,2018
Q37_2,Total,Don't know,0.01,Total,2018
Q37_2,Total,Refused,0.01,Total,2018
Q37_3,Total,Not at all,0.68,Total,2018
Q37_3,Total,Several days,0.21,Total,2018
Q37_3,Total,More than half the days,0.05,Total,2018
Q37_3,Total,Nearly every day,0.04,Total,2018
Q37_3,Total,Don't know,0.01,Total,2018
Q37_3,Total,Refused,0.01,Total,2018
HIV1,Total,Yes,0.55,Total,2018
HIV1,Total,No,0.43,Total,2018
HIV1,Total,Don't know,0.01,Total,2018
HIV1,Total,Refused,0.01,Total,2018
HIV2,Total,Yes,0.21,Total,2018
HIV2,Total,No,0.78,Total,2018
HIV2,Total,Don't know,0.01,Total,2018
HIV2,Total,Refused,0,Total,2018
HIV3,Total,Yes,0.22,Total,2018
HIV3,Total,No,0.77,Total,2018
HIV3,Total,Don't know,0,Total,2018
HIV3,Total,Refused,0.01,Total,2018
Q38,Total,None,0.2,Total,2018
Q38,Total,One,0.08,Total,2018
Q38,Total,Two,0.14,Total,2018
Q38,Total,Three,0.19,Total,2018
Q38,Total,Four,0.11,Total,2018
Q38,Total,Five,0.11,Total,2018
Q38,Total,Six,0.04,Total,2018
Q38,Total,Seven,0.13,Total,2018
Q38,Total,Don't know,0,Total,2018
Q38,Total,Refused,0,Total,2018
Q39,Total,Yes,0.39,Total,2018
Q39,Total,No,0.61,Total,2018
Q39,Total,Don't know,0,Total,2018
Q39,Total,Refused,0,Total,2018
Q40,Total,Every day,0.25,Total,2018
Q40,Total,Some days,0.1,Total,2018
Q40,Total,Not at all,0.64,Total,2018
Q40,Total,Don't know,0,Total,2018
Q40,Total,Refused,0,Total,2018
Q40,Total,Current Smoking Rate (Q39*Q40),0.13649999999999998,Total,2018
Q42,Total,Yes,0.19,Total,2018
Q42,Total,No,0.81,Total,2018
Q42,Total,Don't know,0,Total,2018
Q42,Total,Refused,0,Total,2018
Q43,Total,None,0.57,Total,2018
Q43,Total,One to five,0.19,Total,2018
Q43,Total,Six to twenty-nine,0.09,Total,2018
Q43,Total,Everyday,0.12,Total,2018
Q43,Total,Don't know,0.02,Total,2018
Q43,Total,Refused,0,Total,2018
Q43,Total,Vaping Past 30 Days Rate (Q42*Q43),0.07600000000000001,Total,2018
ALCOHOL,Total,None,0.71,Total,2018
ALCOHOL,Total,One to five,0.22,Total,2018
ALCOHOL,Total,Six to ten,0.03,Total,2018
ALCOHOL,Total,More than ten,0.03,Total,2018
ALCOHOL,Total,Don't know,0.01,Total,2018
ALCOHOL,Total,Refused,0.01,Total,2018
POT1,Total,None,0.87,Total,2018
POT1,Total,One to five,0.05,Total,2018
POT1,Total,Six to ten,0.01,Total,2018
POT1,Total,More than ten,0.06,Total,2018
POT1,Total,Don't know,0,Total,2018
POT1,Total,Refused,0.01,Total,2018
POT2,Total,For medical reasons (like to treat or decrease symptoms of a health condition),0.27,Total,2018
POT2,Total,For nonmedical reasons (like to have fun or fit in),0.37,Total,2018
POT2,Total,For both medical and nonmedical reasons,0.35,Total,2018
POT2,Total,Don't know,0,Total,2018
POT2,Total,Refused,0,Total,2018
OPIOID2,Total,No,0.68,Total,2018
OPIOID2,Total,"Yes, one person",0.13,Total,2018
OPIOID2,Total,"Yes, 2 to 4 people",0.11,Total,2018
OPIOID2,Total,"Yes, 5 or more people",0.07,Total,2018
OPIOID2,Total,Don't know,0,Total,2018
OPIOID2,Total,Refused,0,Total,2018
OPIOID2_1,Total,Yourself,0.06,Total,2018
OPIOID2_1,Total,A family member,0.39,Total,2018
OPIOID2_1,Total,A close friend,0.35,Total,2018
OPIOID2_1,Total,An acquaintance,0.5,Total,2018
OPIOID2_1,Total,Don't know,0.01,Total,2018
OPIOID2_1,Total,Refused,0.01,Total,2018
OPIOID4,Total,No,0.75,Total,2018
OPIOID4,Total,"Yes, one person",0.11,Total,2018
OPIOID4,Total,"Yes, 2 to 4 people",0.09,Total,2018
OPIOID4,Total,"Yes, 5 or more people",0.04,Total,2018
OPIOID4,Total,Don't know,0,Total,2018
OPIOID4,Total,Refused,0,Total,2018
OPIOID4_1,Total,A family member,0.22,Total,2018
OPIOID4_1,Total,A close friend,0.34,Total,2018
OPIOID4_1,Total,An acquaintance,0.63,Total,2018
OPIOID4_1,Total,Don't know,0.01,Total,2018
OPIOID4_1,Total,Refused,0.02,Total,2018
Q44,Total,Living comfortably,0.33,Total,2018
Q44,Total,Doing alright,0.34,Total,2018
Q44,Total,Just getting by,0.21,Total,2018
Q44,Total,Finding it difficult,0.07,Total,2018
Q44,Total,Finding it very difficult,0.05,Total,2018
Q44,Total,Don't know,0,Total,2018
Q44,Total,Refused,0.01,Total,2018
Q45,Total,Better off,0.56,Total,2018
Q45,Total,Not,0.34,Total,2018
Q45,Total,Same,0.06,Total,2018
Q45,Total,Don't know,0.04,Total,2018
Q45,Total,Refused,0,Total,2018
Q46,Total,Less than a month,0.2,Total,2018
Q46,Total,At least one month but less than 2,0.11,Total,2018
Q46,Total,At least 2 months but less than 6,0.16,Total,2018
Q46,Total,At least 6 months but less than a year,0.15,Total,2018
