level,name,category,group,neighborhood_assets,personal_wellbeing,community
3_town,Meriden,Total,Total,405,484,667
3_town,Middletown,Total,Total,576,616,688
3_town,Milford,Total,Total,712,622,710
3_town,Monroe,Total,Total,763,626,707
3_town,New Britain,Total,Total,419,436,548
3_town,New Haven,Total,Total,291,482,540
3_town,New London,Total,Total,309,395,535
3_town,New Milford,Total,Total,609,617,674
3_town,Newtown,Total,Total,770,702,729
3_town,Norwalk,Total,Total,563,655,634
3_town,Stamford,Total,Total,602,751,668
3_town,Stratford,Total,Total,460,523,660
3_town,Trumbull,Total,Total,757,617,747
3_town,Wallingford,Total,Total,741,660,721
3_town,Waterbury,Total,Total,137,438,503
3_town,West Hartford,Total,Total,884,789,746
3_town,West Haven,Total,Total,290,434,606
